"Section","Test","Android Emulator 4.4.2","Notes"
"Thumbnails","Tapping plus adds a new character","PASS",
"Thumbnails","Tapping character's name allows you to rename it","PASS",
"Thumbnails","Tapping paintbrush allows editing character in paint editor","PASS",
"Thumbnails","Press and hold character thumbnail to delete","PASS",
"Thumbnails","Dragging character to a page thumbnail copies it and scripts to page","PASS",
"Thumbnails","Character thumbnails scroll vertically when more than four characters in project","PASS",
"Thumbnails","Tapping a page thumbnail selects the page","PASS",
"Thumbnails","Tapping plus adds a new page","PASS",
"Thumbnails","Each page has its own set of characters and a background","PASS",
"Thumbnails","Press and hold page thumbnail to delete page","PASS",
"Thumbnails","Dragging pages into a new position reorders pages","PASS",
"Thumbnails","Moving a character on the stage should be reflected in the page thumbnail","PASS",
"Libraries","Tapping plus on character thumbnails enters character library","PASS",
"Libraries","Double-tapping character thumbnail adds character to the stage","PASS",
"Libraries","Selecting the character and tapping the check mark adds character to stage","PASS",
"Libraries","Tapping paintbrush icon in top-right of character library opens the paint editor","PASS",
"Libraries","Selecting the blank character at the top-left and tapping paintbrush icon opens the paint editor","PASS",
"Libraries","Selecting a character and tapping the paintbrush icon enters the paint editor to edit selected character","PASS",
"Libraries","When character thumbnail selected, name of character is seen in character library","PASS",
"Libraries","Word “Character” for user-created characters should show at top of library if not named","PASS",
"Libraries","Character library can be scrolled vertically","PASS",
"Libraries","Tapping 'X' in top-right exits character library","PASS",
"Libraries","User-created characters are listed in front of the pre-set characters","PASS",
"Libraries","Double-tapping background thumbnail adds background to the stage","PASS",
"Libraries","Selecting the background and tapping the check mark adds background to stage","PASS",
"Libraries","Tapping paintbrush icon in top-right of background library opens the paint editor","PASS",
"Libraries","Selecting the blank background page at the top-left and tapping paintbrush icon opens the paint editor","PASS",
"Libraries","Selecting a background and tapping the paintbrush icon enters the paint editor to edit selected background","PASS",
"Libraries","When background thumbnail selected, name of background is seen in background library","PASS",
"Libraries","Word “background” for user-created backgrounds should show at top of library if not named","PASS",
"Libraries","Background library can be scrolled vertically","PASS",
"Libraries","Tapping 'X' in top-right exits background library","PASS",
"Libraries","User-created backgrounds are listed in front of the pre-set backgrounds","PASS",
"Libraries","On “My Projects” page, thumbnails show number of pages in project in a 'stack' behind each other","PASS",
"Libraries","On “My Projects” page, projects are ordered numerically if not named by the user","PASS",
"Paint Editor","Line tool draws freehand shapes and lines","PASS",
"Paint Editor","Tapping shape with line tool selected changes outline thickness","PASS",
"Paint Editor","Adjusting line thickness functions for both pre-set shapes and user-created shapes","FAIL","Only for user-created shapes"
"Paint Editor","Ellipse tool creates an ellipse","PASS",
"Paint Editor","Square tool creates a square / rectangle","PASS",
"Paint Editor","Triangle tool creates a triangle","PASS",
"Paint Editor","Arrow tool allows user to freely drag entire shape","PASS",
"Paint Editor","Tapping a shape with the arrow tool selected activates the warp tool and warp tool works","PASS",
"Paint Editor","Tapping on an existing warp tool point deletes the point","PASS",
"Paint Editor","Tapping and holding shape with rotate tool selected allows clockwise and counter-clockwise rotation","PASS",
"Paint Editor","Stamp tool allows creating a copy of a shape","PASS",
"Paint Editor","After copy made, arrow tool selects automatically and copied shape can be moved","PASS",
"Paint Editor","Scissors tool allows user to delete shape","PASS",
"Paint Editor","Tapping a shape with the camera tool activates camera mode","PASS",
"Paint Editor","In camera mode, body of shape acts as a camera lens","PASS",
"Paint Editor","Tapping camera-rotate icon flips perspective of the lens","PASS",
"Paint Editor","Tapping X in top-left exits camera mode","PASS",
"Paint Editor","Tapping camera button in bottom-middle takes photo","PASS",
"Paint Editor","Tapping shape with paint-bucket tool adds or changes color of shape","PASS",
"Paint Editor","Undo reverses a mistake","PASS",
"Paint Editor","Redo reverses the last undo","PASS",
"Paint Editor","Drag 3 fingers in the paint editor to adjust and navigate the perspective",,
"Paint Editor","Selecting a color and a shape/line tool allows the user to create a colored shape / line","PASS",
"Paint Editor","Selecting a color and the paint-bucket tool allows the user to add or change the color of the shape","PASS",
"Help / About","Video tutorial plays","FAIL","Crashes emulator"
"Help / About","Sample project 1 works","PASS",
"Help / About","Sample project 2 works","PASS",
"Help / About","Sample project 3 works","PASS",
"Help / About","Sample project 4 works","PASS",
"Help / About","Sample project 5 works","PASS",
"Help / About","Sample project 6 works","PASS",
"Help / About","Sample project 7 works","PASS",
"Help / About","Sample project 8 works","PASS",
"Help / About","Tapping the question mark at top of screen accesses Help page","PASS",
"Help / About","Tutorials are interactive and can be changed","PASS",
"Help / About","No changes are saved to tutorial after exiting","PASS",
"Help / About","In tutorials, scripts can be deleted but characters cannot be deleted","PASS",
"Help / About","About page shows detailed guide to project editor","PASS",
"Help / About","About page shows detailed guide to paint editor","PASS",
"Help / About","About page shows detailed guide to blocks","PASS",
"Help / About","Book icon selects About page","PASS",
"Help / About","All of the circled numbers in the interface and paint editor guides can be tapped","FAIL","Circles don't select"
"Known Bugs","Encompassing blocks with repeat block if it has a red block attached to it will not work",,
"Known Bugs","Empty shapes created in the paint editor do not separate after being copied",,
"Additional Notes",,,"When there are not two cameras, adjust perspective still shows"
